Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
GOURMETS DELITE WAFERS VANILLA 150GM,GOU.DEL.VANILLA WAFE,0,8904060000000,Tax 5%,65,65,-1,50,-50,BISCUITS,GOURMETS DELITE,WAFERS,,,,
GOURMETS DELITE WAFERS MILK CARAMEL 150GM,GOU.DEL.MILK CARAMEL,0,8904060000000,Tax 5%,65,65,0,55,0,BISCUITS,GOURMETS DELITE,WAFERS,,,,
GOURMETS DELITE WAFERS ORANGE 150GM,GOU.DEL.ORANGE WAFER,0,8904060000000,Tax 5%,65,65,-2,50,-100,BISCUITS,GOURMETS DELITE,WAFERS,,,,
GOURMETS DELITE WAFERS CHOCOLATE 150GM,GOU.DEL.CHOCOLATE WA,0,8904060000000,Tax 5%,65,65,0,50,0,BISCUITS,GOURMETS DELITE,WAFERS,,,,
PAMPERS BABY DRY LARGE 9DIAPERS,PAMPERS BABY DRY LAR,96190030,4902430000000,GST @12%,139,139,3,107.44,322.32,PERSONAL CARE,PAMPERS,BABY CARE,,,,
PREMIER NAPKIN FUNSERV 50PULLS 2PLY,PREMIER NAPKIN FUNSE,48182000,8906010000000,GST @18%,55,50,-5,25.43,-127.15,"HOUSEHOLD,KITCHEN,BATHROOM",PREMIER,HOUSEHOLD ACCESSORIES,,,,
TROPICANA JUICE MOSAMBI 1LTR,TROPICANA JUICE MOSA,22029020,8902080000000,GST @12%,110,110,0,77.54,0,DRINKS AND BEVERAGES,TROPICANA,FRUIT DRINKS AND JUICES,,,,
MONGINIS SWISS ROLL CHOCOLATE + STRAWBERRY TWIN PACK 200GM,MON.SWISS ROLLS TWIN,0,8901910000000,GST @12%,50,50,0,38.65,0,BAKING AND DESSERT,MONGINIS,READY MADE CAKES,,,,
MONGINIS BAR CAKES FRUITS +CHOCOLATE TWIN PACK 200GM,MON.BAR CAKE TWIN PA,0,8901910000000,GST @12%,50,50,0,38.65,0,BAKING AND DESSERT,MONGINIS,READY MADE CAKES,,,,
NAVNEET POSTER COLOURS 6 SHADES,NAVNEET POSTER COLOU,9609,8902440000000,GST @12%,70,70,0,70,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET REGISTER 504 PAGES,NAVNEET REGISTER 504,4820,8902440000000,GST @12%,250,250,5,156.25,781.25,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET EXAM BOARD REGULAR,NAVNEET EXAM BOARD R,0,8902440000000,Tax 5%,70,70,1,49,49,STATIONERY,NAVNEET,<Add New>,,,,
SENOR PEPITO TORTILLA CHIPS HERBY SALSA 65GM,SENOR PEPITO TORTILL,0,8901570000000,Tax 5%,30,30,-4,25.3,-101.2,"SNACKS,CHIPS",<Add New>,SNACKS,,,,
NIVEA SOAP CREME SOFT 5X125GM,NIVEA SOAP CREME SOF,0,4005900000000,GST @12%,260,260,0,210.1,0,PERSONAL CARE,NIVEA,SKIN CARE,,,,
NIVEA LIP CARE FRUITY STRAWBERRY 10GM,NIVEA L/C FRUIT STRW,0,4005900000000,GST @12%,45,45,0,34.78,0,PERSONAL CARE,NIVEA,SKIN CARE,,,,
NIVEA LIP CARE ESSENTIAL SHEA BUTTER 10GM,NIV.L/C SHEA BUTTER,0,4005900000000,GST @12%,45,45,0,34.78,0,PERSONAL CARE,NIVEA,SKIN CARE,,,,
PUREZ WHITE BUTTER 200GM,PUREZ WHITE BUTTER ,0,3698150000000,GST @0%,180,180,0,144,0,BREAD AND DAIRY,PUREZ,DAIRY PRODUCTS,,,,
PUREZ DOUBLE CREAM 200ML,PUREZ DOUBLE CREAM ,0,2552520000000,GST @0%,80,80,0,64,0,BREAD AND DAIRY,PUREZ,DAIRY PRODUCTS,,,,
PUREZ FRESH CREAM 200ML,PUREZ FRESH CREAM ,0,3158800000000,GST @0%,45,45,0,36,0,BREAD AND DAIRY,PUREZ,DAIRY PRODUCTS,,,,
PUREZ WHIPPING CREAM 200ML,PUREZ WHIPPING CREAM,0,1925190000000,GST @0%,100,100,0,80,0,BREAD AND DAIRY,PUREZ,DAIRY PRODUCTS,,,,
PARLE SIMPLY GOOD DIGESTIVE MARIE 250GM,PARLE SIMPLY GOOD DI,19059020,8901720000000,GST @18%,30,30,4,22.7,90.8,BISCUITS,PARLE,DIGESTIVE BISCUITS,,,,
